seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,temperature,humidity,sensor_module_id,timestamp_ms,tvoc,dataset,device_id,run_name,trial_id,session_id,label,filename
0.0,0.3333333333333333,642094,1000000,241216,230973,252532,18340,343429,4349,67946,1000000,121622,1000000,578205,14116,76350,257540,73968,42351,788995,35919,201900,28254,112574,18776,24766,141374,55133,18499,60259,167597,534993,1000000,25.29,36.87,100091_3806_0700309,2021-07-08 22:15:45.200,70.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
3.0,0.3333333333333333,642874,1000000,240860,230871,252434,18344,343834,4346,67980,1000000,121630,1000000,578132,14114,76275,257256,74004,42369,790445,35921,201837,28249,112548,18773,24767,141405,55160,18499,60265,167550,534902,1000000,25.29221311541486,36.87073770513828,100091_3806_0700309,2021-07-08 22:15:48.200,70.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
6.0,0.3333333333333333,643538,1000000,240914,230473,252506,18341,343755,4352,67953,1000000,121632,1000000,578443,14117,76264,257453,73976,42350,789220,35916,201825,28255,112574,18774,24762,141413,55190,18499,60230,167658,534904,1000000,25.29257932542428,36.87703173016971,100091_3806_0700309,2021-07-08 22:15:51.200,70.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
9.0,0.3333333333333333,643710,1000000,241242,231567,252255,18343,343788,4347,67985,1000000,121594,1000000,578237,14116,76298,257488,73973,42363,789872,35909,201814,28253,112569,18774,24769,141562,55183,18499,60214,167555,535013,1000000,25.263278692489155,36.87778688458514,100091_3806_0700309,2021-07-08 22:15:54.200,70.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
12.0,0.3333333333333333,641489,1000000,240939,230915,252398,18338,343896,4349,67976,1000000,121635,1000000,578630,14116,76290,257616,73913,42381,790598,35919,201874,28254,112571,18775,24770,141707,55155,18503,60222,167648,535001,1000000,25.302295076681126,36.87704917944686,100091_3806_0700309,2021-07-08 22:15:57.200,70.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
15.0,0.3333333333333333,642020,1000000,240958,230812,252710,18342,344042,4345,67937,1000000,121544,1000000,578621,14117,76294,257542,73923,42360,790357,35921,201906,28252,112547,18774,24767,141437,55210,18503,60288,167562,534882,1000000,25.28446721146285,36.87631147430857,100091_3806_0700309,2021-07-08 22:16:00.200,70.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
18.0,0.3333333333333333,643085,1000000,240998,230994,252505,18344,343824,4346,67973,1000000,121570,1000000,578736,14115,76257,257440,73942,42356,790350,35920,201892,28250,112563,18774,24760,141559,55177,18501,60272,167712,535050,1000000,25.29113612919993,36.87443193540003,100091_3806_0700309,2021-07-08 22:16:03.200,69.77840322999828,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
21.0,0.3333333333333333,642860,1000000,240770,230910,252801,18348,343916,4344,67964,1000000,121610,1000000,578719,14118,76323,257436,73881,42394,790674,35918,201861,28252,112551,18774,24771,141393,55191,18502,60240,167669,534999,1000000,25.274354507393294,36.86,100091_3806_0700309,2021-07-08 22:16:06.200,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
24.0,0.3333333333333333,643295,1000000,241237,230737,252673,18343,343888,4348,67940,1000000,121595,1000000,578687,14115,76304,257407,74005,42386,791542,35914,201837,28248,112547,18772,24775,141569,55166,18503,60244,167663,534939,1000000,25.27595286934052,36.86595286934052,100091_3806_0700309,2021-07-08 22:16:09.200,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
27.0,0.3333333333333333,642929,1000000,241221,230658,252627,18347,343970,4349,67958,1000000,121640,1000000,578615,14116,76302,257343,73944,42386,791071,35914,201842,28250,112546,18776,24772,141471,55142,18501,60244,167706,534880,1000000,25.290082134468083,36.8866940448227,100091_3806_0700309,2021-07-08 22:16:12.200,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
30.0,0.3333333333333333,643527,1000000,241026,231031,252579,18347,343610,4347,68005,1000000,121608,1000000,578418,14117,76290,257413,73956,42375,790216,35919,201841,28252,112538,18769,24776,141532,55205,18505,60283,167583,534876,1000000,25.265158645967933,36.86257932298396,100091_3806_0700309,2021-07-08 22:16:15.200,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
33.0,0.3333333333333333,643032,1000000,240819,231107,252580,18345,343488,4344,67951,1000000,121630,1000000,578613,14113,76262,257448,73953,42394,789845,35917,201838,28256,112563,18774,24770,141366,55161,18504,60303,167747,534984,1000000,25.28447287409083,36.87815762469695,100091_3806_0700309,2021-07-08 22:16:18.200,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
36.0,0.3333333333333333,642642,1000000,240903,230365,252424,18338,343407,4347,67957,1000000,121676,1000000,578512,14118,76272,257341,73945,42394,789760,35924,201864,28256,112544,18777,24767,141592,55167,18502,60288,167775,534925,1000000,25.32557376917028,36.87889344229257,100091_3806_0700309,2021-07-08 22:16:21.200,69.44467211462852,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
39.0,0.3333333333333333,642980,1000000,240724,230387,252211,18344,343398,4344,67988,1000000,121628,1000000,578770,14115,76344,257309,73883,42377,789191,35926,201851,28251,112560,18774,24775,141247,55054,18501,60328,167714,534949,1000000,25.3,36.88928205434184,100091_3806_0700309,2021-07-08 22:16:24.200,70.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
42.0,0.3333333333333333,642494,1000000,240458,230711,252452,18338,343493,4347,68019,1000000,121657,1000000,578289,14115,76307,257374,73967,42361,789612,35917,201879,28250,112543,18769,24764,141349,55203,18499,60291,167790,535010,1000000,25.31870901478659,36.87043032840447,100091_3806_0700309,2021-07-08 22:16:27.200,70.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
45.0,0.3333333333333333,642884,1000000,240622,231001,252498,18337,343885,4345,67994,1000000,121585,1000000,578213,14113,76273,257416,73972,42363,789816,35920,201884,28254,112556,18778,24770,141395,55278,18503,60316,167614,534982,1000000,25.29122176551165,36.87366529653495,100091_3806_0700309,2021-07-08 22:16:30.200,70.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
48.0,0.3333333333333333,643376,1000000,240832,230950,252407,18340,343321,4347,68008,1000000,121594,1000000,578435,14119,76320,257385,73874,42390,789604,35922,201799,28250,112562,18775,24769,141522,55179,18501,60320,167861,534773,1000000,25.3039304022734,36.8780347988633,100091_3806_0700309,2021-07-08 22:16:33.200,70.09826005683489,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
51.0,0.3333333333333333,642197,1000000,240510,230844,252623,18343,343863,4348,68019,1000000,121599,1000000,578364,14118,76305,257310,73868,42381,791280,35919,201863,28252,112553,18774,24785,141436,55223,18499,60308,167784,535040,1000000,25.298053280685824,36.87268442689528,100091_3806_0700309,2021-07-08 22:16:36.200,71.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
54.0,0.3333333333333333,643889,1000000,240603,230641,252610,18336,343627,4350,67988,1000000,121658,1000000,578509,14116,76273,257396,73893,42353,790731,35924,201933,28255,112557,18772,24776,141506,55226,18502,60313,167535,535003,1000000,25.31028659279839,36.87,100091_3806_0700309,2021-07-08 22:16:39.200,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
57.0,0.3333333333333333,642090,1000000,240986,230606,252514,18336,344202,4346,68002,1000000,121583,1000000,578548,14119,76250,257150,73875,42370,789509,35923,201897,28253,112553,18771,24765,141399,55241,18503,60281,167709,534980,1000000,25.29583844482816,36.88,100091_3806_0700309,2021-07-08 22:16:42.200,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
60.0,0.3333333333333333,642950,1000000,241086,230930,252309,18335,343919,4349,67977,1000000,121613,1000000,578810,14119,76350,257348,73933,42332,788398,35912,201894,28253,112571,18772,24766,141373,55159,18501,60286,167698,534937,1000000,25.29,36.87978505967176,100091_3806_0700309,2021-07-08 22:16:45.200,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
63.0,0.3333333333333333,642535,1000000,241046,230726,252195,18338,343951,4346,67939,1000000,121595,1000000,578597,14118,76280,257285,73933,42319,790712,35917,201873,28259,112556,18777,24771,141515,55184,18506,60305,167782,534961,1000000,25.291273101390075,36.874363449304965,100091_3806_0700309,2021-07-08 22:16:48.200,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
66.0,0.3333333333333333,641785,1000000,241009,230715,252715,18341,343823,4344,67920,1000000,121609,1000000,578558,14122,76307,257220,73956,42369,788936,35921,201935,28258,112553,18773,24774,141563,55220,18502,60302,167878,534847,1000000,25.301399276336667,36.88,100091_3806_0700309,2021-07-08 22:16:51.200,72.15889290924073,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
69.0,0.3333333333333333,641845,1000000,241259,230533,252413,18347,343777,4347,67959,1000000,121590,1000000,578858,14122,76407,257317,73929,42363,790521,35917,201931,28259,112555,18777,24774,141514,55235,18504,60260,167807,534855,1000000,25.271476923769136,36.88,100091_3806_0700309,2021-07-08 22:16:54.200,73.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
72.0,0.3333333333333333,641184,1000000,241156,231069,252492,18346,343815,4346,67979,1000000,121654,1000000,578950,14121,76279,257356,73926,42368,790536,35925,201895,28254,112560,18778,24768,141493,55162,18501,60291,167805,534709,1000000,25.29790554413779,36.90581108827558,100091_3806_0700309,2021-07-08 22:16:57.200,73.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
75.0,0.3333333333333333,641881,1000000,241135,230585,252475,18348,344040,4346,67987,1000000,121648,1000000,578574,14120,76360,257424,74022,42359,790787,35909,201931,28252,112583,18774,24761,141628,55164,18501,60217,167779,534842,1000000,25.251362704097087,36.88136270409709,100091_3806_0700309,2021-07-08 22:17:00.200,73.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
78.0,0.3333333333333333,642963,1000000,241132,230122,252360,18341,344537,4347,67942,1000000,121663,1000000,578469,14121,76336,257352,73914,42354,790738,35925,201938,28250,112593,18773,24759,141420,55186,18500,60223,167625,534807,1000000,25.29,36.88947746015771,100091_3806_0700309,2021-07-08 22:17:03.200,73.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
81.0,0.3333333333333333,643165,1000000,241237,230148,252472,18339,343843,4347,67983,1000000,121663,1000000,578895,14120,76330,257453,73917,42379,790345,35915,201900,28249,112583,18776,24766,141495,55309,18499,60259,167735,534846,1000000,25.29030769204435,36.88969230795565,100091_3806_0700309,2021-07-08 22:17:06.200,73.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
84.0,0.3333333333333333,641527,1000000,241110,230510,252390,18342,344404,4344,68002,1000000,121599,1000000,578734,14121,76305,257443,73989,42359,791242,35918,201908,28255,112599,18770,24776,141578,55212,18504,60219,167703,534914,1000000,25.283446153831107,36.88229743588741,100091_3806_0700309,2021-07-08 22:17:09.200,73.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
87.0,0.3333333333333333,641947,1000000,241234,230882,252456,18346,344048,4342,68004,1000000,121668,1000000,578417,14122,76359,257484,73850,42362,790838,35923,201925,28256,112583,18772,24774,141424,55189,18504,60232,167856,534824,1000000,25.3,36.89195071931915,100091_3806_0700309,2021-07-08 22:17:12.200,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
90.0,0.3333333333333333,642795,1000000,240822,230552,252399,18341,344340,4350,67986,1000000,121678,1000000,578730,14125,76349,257503,73910,42341,789920,35918,201925,28255,112581,18775,24767,141386,55191,18504,60268,167824,534918,1000000,25.268045038416627,36.89,100091_3806_0700309,2021-07-08 22:17:15.200,72.13408397361046,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
93.0,0.3333333333333333,642488,1000000,241279,230427,252709,18343,344061,4345,68004,1000000,121609,1000000,578859,14122,76331,257311,73887,42359,790424,35923,201909,28255,112571,18773,24764,141464,55219,18506,60260,167750,534675,1000000,25.306956522168367,36.9,100091_3806_0700309,2021-07-08 22:17:18.200,72.5,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
96.0,0.3333333333333333,643054,1000000,241329,230765,252536,18345,343508,4350,68012,1000000,121654,1000000,578824,14121,76297,257474,73869,42346,789900,35918,201903,28250,112587,18771,24761,141446,55246,18503,60297,167737,534800,1000000,25.301425640539083,36.9,100091_3806_0700309,2021-07-08 22:17:21.200,72.78564101347713,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
99.0,0.3333333333333333,642229,1000000,241291,230475,252671,18345,343627,4342,68044,1000000,121662,1000000,578791,14120,76379,257349,73825,42350,790595,35918,201921,28252,112585,18775,24764,141507,55240,18506,60266,167602,534855,1000000,25.315398773290298,36.8948670755699,100091_3806_0700309,2021-07-08 22:17:24.200,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
102.0,0.3333333333333333,641713,1000000,240663,230397,252604,18344,343783,4347,68043,1000000,121641,1000000,578473,14118,76359,257356,73891,42353,790223,35915,201891,28251,112573,18772,24761,141614,55258,18508,60245,167676,535036,1000000,25.278374485879343,36.88810699596553,100091_3806_0700309,2021-07-08 22:17:27.200,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
