seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,temperature,humidity,sensor_module_id,timestamp_ms,tvoc,dataset,device_id,run_name,trial_id,session_id,label
0.0,0.3333333333333333,150622,1000000,265064,131590,154761,11442,124972,71614,61659,1000000,772119,1000000,444579,12111,77841,89222,944475,56750,325758,55734,257438,54232,80214,433454,41711,232319,45711,19244,381887,1000000,434607,1000000,25.46,36.91,100084_3681_0700302,2021-07-08 22:15:57.628,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
3.0,0.3333333333333333,150405,1000000,265066,131660,154741,11443,124871,71616,61686,1000000,772180,1000000,444456,12113,77695,89282,941416,56720,325818,55723,257426,54227,80235,433083,41701,232455,45700,19240,382806,1000000,434658,1000000,25.50504644119008,36.92,100084_3681_0700302,2021-07-08 22:16:00.628,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
6.0,0.3333333333333333,150378,1000000,265067,131831,154731,11445,124907,71593,61689,1000000,772170,1000000,444474,12114,77726,89229,941447,56787,326046,55719,257488,54222,80243,433473,41709,232207,45689,19240,382043,1000000,434582,1000000,25.457958765876647,36.91801030853084,100084_3681_0700302,2021-07-08 22:16:03.628,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
9.0,0.3333333333333333,150410,1000000,265127,131843,154862,11444,124960,71593,61691,1000000,772005,1000000,444643,12112,77712,89234,937660,56744,326584,55717,257414,54235,80224,433377,41708,232443,45721,19236,382426,1000000,434607,1000000,25.465861712283605,36.91,100084_3681_0700302,2021-07-08 22:16:06.628,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
12.0,0.3333333333333333,150480,1000000,265258,131835,154883,11442,124994,71581,61702,1000000,771545,1000000,444550,12114,77622,89260,942212,56742,326298,55710,257400,54235,80218,433143,41705,232404,45719,19239,382093,1000000,434610,1000000,25.452239422480737,36.906119711240365,100084_3681_0700302,2021-07-08 22:16:09.628,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
15.0,0.3333333333333333,150344,1000000,265112,131649,154784,11444,125051,71615,61760,1000000,771895,1000000,444575,12112,77762,89242,945785,56751,326211,55720,257502,54229,80224,433127,41699,232232,45701,19239,381830,1000000,434606,1000000,25.469855372521668,36.90507231373916,100084_3681_0700302,2021-07-08 22:16:12.628,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
18.0,0.3333333333333333,150489,1000000,264921,131720,154888,11446,125005,71614,61704,1000000,771800,1000000,444603,12110,77809,89267,947468,56737,326073,55734,257462,54235,80210,433144,41698,232305,45689,19241,382138,1000000,434555,1000000,25.45,36.91,100084_3681_0700302,2021-07-08 22:16:15.628,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
21.0,0.3333333333333333,150271,1000000,265057,131600,154843,11444,124996,71604,61709,1000000,771671,1000000,444594,12113,77797,89266,939909,56747,325760,55720,257441,54242,80205,433252,41717,232581,45714,19244,381254,1000000,434519,1000000,25.454438723107625,36.90721936155381,100084_3681_0700302,2021-07-08 22:16:18.628,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
24.0,0.3333333333333333,150583,1000000,264985,131346,154788,11443,124943,71609,61735,1000000,772041,1000000,444533,12116,77741,89239,942619,56703,325549,55732,257447,54240,80225,433147,41698,232439,45672,19245,381501,1000000,434569,1000000,25.44522680119701,36.91,100084_3681_0700302,2021-07-08 22:16:21.628,69.41288664671652,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
27.0,0.3333333333333333,150496,1000000,264974,131596,154762,11440,124885,71587,61751,1000000,772329,1000000,444593,12111,77885,89242,942394,56707,325306,55734,257440,54248,80257,433611,41711,232523,45726,19237,382071,1000000,434532,1000000,25.466217618615723,36.92,100084_3681_0700302,2021-07-08 22:16:24.628,70.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
