seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,temperature,humidity,sensor_module_id,timestamp_ms,tvoc,dataset,device_id,run_name,trial_id,session_id,label
0.0,0.3333333333333333,140337,1000000,24454,92199,272291,598331,73552,57062,28051,1000000,1000000,1000000,410263,34059,51567,107490,65282,696551,8760,20327,71526,38777,86602,384769,36881,25841,70320,241855,27639,48818,327681,476524,25.43,42.59,100098_3746_0700406,2021-07-08 22:15:52.487,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
3.0,0.3333333333333333,140352,1000000,24461,92343,272627,597679,73538,57054,28058,1000000,1000000,1000000,409843,34057,51501,107529,65332,695726,8759,20334,71534,38771,86623,384939,36851,25846,70364,241639,27626,48856,327558,477181,25.43,42.57085390899817,100098_3746_0700406,2021-07-08 22:15:55.487,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
6.0,0.3333333333333333,140332,1000000,24437,92221,272583,597164,73534,57061,28045,1000000,1000000,1000000,410178,34063,51503,107533,65281,695705,8764,20330,71526,38778,86639,384713,36865,25838,70347,241842,27623,48858,327249,476697,25.421706062914584,42.573412125829165,100098_3746_0700406,2021-07-08 22:15:58.487,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
9.0,0.3333333333333333,140375,1000000,24458,92279,272593,597356,73477,57050,28045,1000000,1000000,1000000,409878,34051,51489,107524,65277,695758,8759,20330,71523,38766,86632,384756,36902,25843,70335,241857,27621,48856,327064,477138,25.452559096195152,42.57488180760969,100098_3746_0700406,2021-07-08 22:16:01.487,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
12.0,0.3333333333333333,140535,1000000,24454,92296,272477,596709,73537,57061,28068,1000000,1000000,1000000,409945,34059,51536,107476,65306,696092,8762,20327,71522,38770,86645,384838,36890,25831,70366,242029,27626,48828,327214,476388,25.439783949133453,42.5731892994223,100098_3746_0700406,2021-07-08 22:16:04.487,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
15.0,0.3333333333333333,140314,1000000,24437,92272,272446,595509,73511,57063,28055,1000000,1000000,1000000,410370,34052,51521,107503,65292,696182,8763,20335,71511,38767,86627,384769,36879,25801,70303,241807,27620,48823,327422,476070,25.45429313981612,42.56,100098_3746_0700406,2021-07-08 22:16:07.487,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
18.0,0.3333333333333333,140421,1000000,24447,92193,272593,596914,73562,57058,28057,1000000,1000000,1000000,410418,34057,51522,107455,65294,696449,8760,20332,71513,38765,86623,384820,36884,25812,70344,241851,27622,48839,327105,476558,25.437398457597414,42.552601542402584,100098_3746_0700406,2021-07-08 22:16:10.487,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
21.0,0.3333333333333333,140454,1000000,24451,92324,272592,595954,73549,57052,28059,1000000,1000000,1000000,410262,34058,51551,107437,65275,695580,8761,20328,71522,38770,86640,384881,36892,25818,70344,241829,27627,48829,326943,476338,25.47395061743536,42.566049382564636,100098_3746_0700406,2021-07-08 22:16:13.487,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
24.0,0.3333333333333333,140575,1000000,24446,92308,272502,597598,73524,57060,28043,1000000,1000000,1000000,410170,34058,51504,107451,65259,696299,8761,20330,71519,38777,86640,384923,36875,25810,70358,241750,27625,48833,326580,476400,25.458273379109045,42.56689619701558,100098_3746_0700406,2021-07-08 22:16:16.487,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
27.0,0.3333333333333333,140485,1000000,24446,92342,272421,596599,73521,57063,28050,1000000,1000000,1000000,410550,34066,51500,107457,65238,696070,8759,20326,71524,38773,86616,384899,36909,25797,70384,241854,27625,48831,326863,476884,25.46,42.57774691282319,100098_3746_0700406,2021-07-08 22:16:19.487,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
