seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,temperature,humidity,sensor_module_id,timestamp_ms,tvoc,dataset,device_id,run_name,trial_id,session_id,label
0.0,0.3333333333333333,458280,1000000,25725,146280,905120,290295,123356,39577,43490,849691,612036,1000000,120218,19297,144450,137844,173281,576938,11924,26974,94118,21305,39250,326395,19095,23620,60707,339446,22082,1000000,489269,1000000,25.45,44.47,100099_3781_0700407,2021-07-08 18:45:49.648,76.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,71a16adb-caa1-4bee-a98a-6c244bc8682d,baseline
3.0,0.3333333333333333,457925,1000000,25698,146067,906475,290117,123337,39571,43437,849338,612242,1000000,120215,19294,144430,137845,173388,579324,11926,26979,94118,21307,39252,326405,19098,23630,60720,339446,22086,1000000,490311,1000000,25.457126675406226,44.46904222513541,100099_3781_0700407,2021-07-08 18:45:52.648,76.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,71a16adb-caa1-4bee-a98a-6c244bc8682d,baseline
6.0,0.3333333333333333,458329,1000000,25716,146279,905765,289574,123256,39561,43444,850452,612344,1000000,120210,19292,144164,137901,173285,580200,11920,26977,94130,21299,39256,326319,19093,23623,60712,339138,22086,1000000,490154,1000000,25.458137859918278,44.46813785991827,100099_3781_0700407,2021-07-08 18:45:55.648,76.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,71a16adb-caa1-4bee-a98a-6c244bc8682d,baseline
9.0,0.3333333333333333,458944,1000000,25698,146240,905760,289775,123175,39562,43452,850138,612237,1000000,120179,19289,144446,137898,173286,578955,11920,26968,94123,21296,39251,326287,19088,23624,60697,339083,22073,1000000,488898,1000000,25.452792979440737,44.43720702055926,100099_3781_0700407,2021-07-08 18:45:58.648,76.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,71a16adb-caa1-4bee-a98a-6c244bc8682d,baseline
12.0,0.3333333333333333,458928,1000000,25684,146444,905040,289692,123050,39556,43432,849723,612232,1000000,120146,19285,144384,137834,173256,579435,11928,26969,94097,21289,39249,326227,19088,23617,60698,338958,22074,1000000,489085,1000000,25.46,44.423756504411365,100099_3781_0700407,2021-07-08 18:46:01.648,76.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,71a16adb-caa1-4bee-a98a-6c244bc8682d,baseline
15.0,0.3333333333333333,458675,1000000,25690,146394,905614,289727,123250,39563,43449,848891,612315,1000000,120192,19287,144383,137822,173153,578669,11923,26970,94100,21298,39251,326267,19093,23618,60716,338979,22078,1000000,488168,1000000,25.455223725149335,44.42,100099_3781_0700407,2021-07-08 18:46:04.648,76.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,71a16adb-caa1-4bee-a98a-6c244bc8682d,baseline
18.0,0.3333333333333333,458460,1000000,25689,146581,905434,289645,123175,39560,43451,848807,612416,1000000,120173,19286,144419,137788,173154,578595,11923,26971,94102,21298,39254,326334,19086,23616,60722,339411,22080,1000000,488295,1000000,25.45573195853483,44.415731958534835,100099_3781_0700407,2021-07-08 18:46:07.648,75.71340207325841,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,71a16adb-caa1-4bee-a98a-6c244bc8682d,baseline
21.0,0.3333333333333333,458831,1000000,25705,146388,905345,289721,123274,39560,43460,849307,612340,1000000,120173,19283,144137,137821,173343,577929,11923,26970,94094,21298,39248,326301,19093,23610,60688,339448,22074,1000000,489789,1000000,25.45,44.416752576825466,100099_3781_0700407,2021-07-08 18:46:10.648,75.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,71a16adb-caa1-4bee-a98a-6c244bc8682d,baseline
24.0,0.3333333333333333,458688,1000000,25703,146244,905329,289924,123246,39566,43437,848570,611924,1000000,120146,19281,144294,137793,173224,579587,11919,26967,94089,21294,39249,326215,19086,23606,60676,339296,22068,1000000,489428,1000000,25.46,44.427662203827516,100099_3781_0700407,2021-07-08 18:46:13.648,75.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,71a16adb-caa1-4bee-a98a-6c244bc8682d,baseline
27.0,0.3333333333333333,458460,1000000,25705,146473,904921,289895,123101,39555,43476,847827,612405,1000000,120132,19280,144258,137768,173252,578992,11933,26963,94070,21290,39246,326194,19091,23604,60660,338890,22068,1000000,489153,1000000,25.445762884127344,44.4,100099_3781_0700407,2021-07-08 18:46:16.648,73.14123719575517,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,71a16adb-caa1-4bee-a98a-6c244bc8682d,baseline
30.0,0.3333333333333333,458241,1000000,25710,146295,904229,289773,123014,39549,43447,848969,612264,1000000,120124,19273,144320,137666,173170,578685,11919,26960,94083,21285,39244,326099,19088,23599,60657,339592,22061,1000000,489503,1000000,25.47948506740911,44.390257466295445,100099_3781_0700407,2021-07-08 18:46:19.648,72.01287331477221,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,71a16adb-caa1-4bee-a98a-6c244bc8682d,baseline
