seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,temperature,humidity,sensor_module_id,timestamp_ms,tvoc,dataset,device_id,run_name,trial_id,session_id,label
0.0,0.3333333333333333,313505,1000000,23698,210216,1000000,174583,150362,23370,47068,764408,845328,1000000,185698,35970,27445,183550,87132,1000000,9708,26957,117084,74620,39704,1000000,24118,28391,104852,15376,29686,1000000,340199,1000000,25.41,43.91,100100_3754_0700408,2021-07-08 18:45:59.578,75.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,81c82ddd-65bf-442f-be75-979bcd8e9ad2,baseline
3.0,0.3333333333333333,313583,1000000,23699,210506,1000000,174845,150521,23363,47055,764447,843858,1000000,185688,35967,27447,183618,87183,1000000,9704,26961,117025,74606,39707,1000000,24107,28351,104798,15378,29684,1000000,340124,1000000,25.411228881095422,43.91,100100_3754_0700408,2021-07-08 18:46:02.578,75.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,81c82ddd-65bf-442f-be75-979bcd8e9ad2,baseline
6.0,0.3333333333333333,313250,1000000,23694,210202,1000000,174778,150412,23363,47053,763616,844540,1000000,185675,35965,27457,183684,87175,1000000,9711,26962,117040,74602,39702,1000000,24102,28355,104849,15375,29679,1000000,339912,1000000,25.4384631138881,43.9184631138881,100100_3754_0700408,2021-07-08 18:46:05.578,75.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,81c82ddd-65bf-442f-be75-979bcd8e9ad2,baseline
9.0,0.3333333333333333,314098,1000000,23685,210258,1000000,174829,150556,23365,47077,764171,844730,1000000,185668,35967,27460,183634,87168,1000000,9711,26956,117057,74606,39703,1000000,24098,28345,104805,15371,29682,1000000,340143,1000000,25.44236438265572,43.91,100100_3754_0700408,2021-07-08 18:46:08.578,75.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,81c82ddd-65bf-442f-be75-979bcd8e9ad2,baseline
12.0,0.3333333333333333,313670,1000000,23700,210168,1000000,174718,150435,23366,47054,763616,845075,1000000,185712,35969,27459,183722,87145,1000000,9709,26965,117061,74601,39705,1000000,24103,28347,104827,15377,29684,1000000,340129,1000000,25.430747947853757,43.913084017382076,100100_3754_0700408,2021-07-08 18:46:11.578,75.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,81c82ddd-65bf-442f-be75-979bcd8e9ad2,baseline
15.0,0.3333333333333333,313707,1000000,23691,210123,1000000,174833,150411,23363,47056,764256,844489,1000000,185709,35977,27473,183578,87148,1000000,9710,26959,117066,74612,39699,1000000,24101,28320,104821,15378,29690,1000000,340107,1000000,25.4440122820953,43.9220368462859,100100_3754_0700408,2021-07-08 18:46:14.578,75.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,81c82ddd-65bf-442f-be75-979bcd8e9ad2,baseline
18.0,0.3333333333333333,313692,1000000,23688,210705,1000000,174768,150319,23367,47060,763391,844496,1000000,185715,35983,27460,183444,87146,1000000,9713,26960,117054,74604,39695,1000000,24107,28322,104850,15380,29689,1000000,340158,1000000,25.44,43.93054247425775,100100_3754_0700408,2021-07-08 18:46:17.578,72.7635618564437,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,81c82ddd-65bf-442f-be75-979bcd8e9ad2,baseline
21.0,0.3333333333333333,313713,1000000,23693,209961,1000000,174716,150226,23364,47004,763715,844137,1000000,185699,35979,27460,183492,87132,1000000,9708,26960,117058,74602,39703,1000000,24106,28340,104803,15374,29688,1000000,340390,1000000,25.454554758793364,43.92455475879336,100100_3754_0700408,2021-07-08 18:46:20.578,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,81c82ddd-65bf-442f-be75-979bcd8e9ad2,baseline
24.0,0.3333333333333333,313434,1000000,23682,209831,1000000,174898,150441,23368,47031,764248,844798,1000000,185587,35973,27461,183663,87134,1000000,9711,26965,117041,74606,39701,1000000,24109,28348,104834,15380,29683,1000000,340293,1000000,25.45619341635959,43.92,100100_3754_0700408,2021-07-08 18:46:23.578,71.69032918202059,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,81c82ddd-65bf-442f-be75-979bcd8e9ad2,baseline
27.0,0.3333333333333333,313939,1000000,23684,210629,1000000,174750,150369,23369,47031,763747,844846,1000000,185721,35974,27469,183660,87123,1000000,9705,26961,117075,74578,39699,1000000,24112,28323,104804,15377,29684,1000000,340415,1000000,25.436045079684583,43.91604507968458,100100_3754_0700408,2021-07-08 18:46:26.578,71.8488730078854,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,81c82ddd-65bf-442f-be75-979bcd8e9ad2,baseline
30.0,0.3333333333333333,313417,1000000,23695,210176,1000000,174798,150393,23368,47047,763268,844311,1000000,185702,35967,27463,183588,87095,1000000,9707,26961,117062,74585,39699,1000000,24109,28329,104832,15377,29677,1000000,340045,1000000,25.457697032701414,43.92,100100_3754_0700408,2021-07-08 18:46:29.578,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,81c82ddd-65bf-442f-be75-979bcd8e9ad2,baseline
33.0,0.3333333333333333,313981,1000000,23690,210516,1000000,174830,150598,23366,47041,763567,844392,1000000,185683,35966,27467,183651,87151,1000000,9708,26963,117059,74582,39698,1000000,24112,28318,104859,15375,29684,1000000,340117,1000000,25.441535310718955,43.91,100100_3754_0700408,2021-07-08 18:46:32.578,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,81c82ddd-65bf-442f-be75-979bcd8e9ad2,baseline
36.0,0.3333333333333333,313602,1000000,23686,211031,1000000,174809,150225,23366,47058,763966,844823,1000000,185644,35965,27454,183677,87113,1000000,9708,26961,117075,74565,39701,1000000,24106,28296,104832,15374,29679,1000000,340011,1000000,25.448400003325634,43.89920000166281,100100_3754_0700408,2021-07-08 18:46:35.578,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,81c82ddd-65bf-442f-be75-979bcd8e9ad2,baseline
39.0,0.3333333333333333,313913,1000000,23685,210559,1000000,174765,150459,23364,47049,762796,843646,1000000,185714,35957,27461,183589,87153,1000000,9706,26959,117058,74572,39694,1000000,24101,28315,104788,15376,29680,1000000,339910,1000000,25.430276350804753,43.89018423386984,100100_3754_0700408,2021-07-08 18:46:38.578,72.9907883065082,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,81c82ddd-65bf-442f-be75-979bcd8e9ad2,baseline
42.0,0.3333333333333333,313420,1000000,23681,210447,1000000,174799,150465,23361,47089,764024,844309,1000000,185657,35960,27461,183440,87160,1000000,9712,26953,117041,74565,39706,1000000,24099,28333,104804,15377,29682,1000000,340143,1000000,25.44854656910295,43.89,100100_3754_0700408,2021-07-08 18:46:41.578,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,81c82ddd-65bf-442f-be75-979bcd8e9ad2,baseline
