seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,temperature,humidity,sensor_module_id,timestamp_ms,tvoc,dataset,device_id,run_name,trial_id,session_id,label
0.0,0.3333333333333333,255631,1000000,23894,171740,159543,473965,126571,15237,39329,770678,128214,1000000,205296,13927,227952,250927,132663,463071,12269,99395,81624,47833,31249,109038,11958,22536,97735,24637,16822,119605,436540,1000000,25.3,43.41,100101_3761_0700409,2021-07-08 18:45:54.845,75.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,8743cff1-61d0-4793-8a9e-b113edc9e39f,baseline
3.0,0.3333333333333333,255884,1000000,23910,171862,159638,473502,126633,15233,39330,770123,128166,1000000,205247,13920,227970,250523,132785,463261,12264,99394,81618,47821,31249,109020,11955,22524,97652,24627,16814,119565,436314,1000000,25.338545080039992,43.37,100101_3761_0700409,2021-07-08 18:45:57.845,75.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,8743cff1-61d0-4793-8a9e-b113edc9e39f,baseline
6.0,0.3333333333333333,255639,1000000,23904,171869,159623,474246,126656,15233,39330,770390,128176,1000000,205222,13928,227669,250616,132897,463037,12268,99345,81616,47811,31246,109002,11949,22535,97697,24632,16819,119653,435506,1000000,25.31293033023658,43.36706966976342,100101_3761_0700409,2021-07-08 18:46:00.845,75.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,8743cff1-61d0-4793-8a9e-b113edc9e39f,baseline
9.0,0.3333333333333333,255764,1000000,23900,171909,159541,474113,126519,15233,39323,770175,128169,1000000,205238,13924,227553,250497,132880,462756,12268,99391,81625,47812,31245,109002,11950,22523,97725,24627,16816,119597,435649,1000000,25.34881147340753,43.36,100101_3761_0700409,2021-07-08 18:46:03.845,75.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,8743cff1-61d0-4793-8a9e-b113edc9e39f,baseline
12.0,0.3333333333333333,256084,1000000,23901,171918,159644,472915,126643,15236,39331,771422,128228,1000000,205277,13926,227436,250724,132771,462784,12271,99391,81629,47838,31253,109032,11954,22529,97727,24629,16814,119603,435445,1000000,25.317496139363215,43.352998455745286,100101_3761_0700409,2021-07-08 18:46:06.845,75.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,8743cff1-61d0-4793-8a9e-b113edc9e39f,baseline
15.0,0.3333333333333333,255368,1000000,23897,171662,159568,473406,126740,15243,39343,769949,128285,1000000,205261,13928,228025,250731,132662,463070,12273,99404,81636,47830,31258,109047,11950,22536,97711,24632,16817,119612,436889,1000000,25.3476639353573,43.38383196767865,100101_3761_0700409,2021-07-08 18:46:09.845,75.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,8743cff1-61d0-4793-8a9e-b113edc9e39f,baseline
18.0,0.3333333333333333,255572,1000000,23904,171728,159556,472989,126628,15240,39345,770905,128303,1000000,205247,13927,227289,250703,132906,462435,12279,99380,81644,47829,31253,109049,11950,22522,97719,24634,16819,119630,435371,1000000,25.32629098154919,43.38456967281694,100101_3761_0700409,2021-07-08 18:46:12.845,75.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,8743cff1-61d0-4793-8a9e-b113edc9e39f,baseline
21.0,0.3333333333333333,255498,1000000,23887,171430,159512,473721,126627,15236,39342,770328,128302,1000000,205250,13921,227358,250707,132930,462427,12271,99440,81629,47816,31253,109021,11947,22534,97670,24628,16815,119617,435937,1000000,25.34607581856836,43.38,100101_3761_0700409,2021-07-08 18:46:15.845,74.46413938105466,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,8743cff1-61d0-4793-8a9e-b113edc9e39f,baseline
24.0,0.3333333333333333,255436,1000000,23902,171814,159438,473198,126715,15234,39351,769911,128212,1000000,205256,13921,227505,250775,132873,462715,12266,99428,81620,47808,31250,109008,11943,22519,97613,24623,16818,119620,435909,1000000,25.33,43.36,100101_3761_0700409,2021-07-08 18:46:18.845,72.19293749016249,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,8743cff1-61d0-4793-8a9e-b113edc9e39f,baseline
27.0,0.3333333333333333,255540,1000000,23895,171814,159459,472774,126779,15233,39332,769610,128177,1000000,205221,13915,227712,250737,132804,462477,12271,99433,81625,47804,31247,109005,11945,22509,97648,24618,16814,119582,435988,1000000,25.37,43.33916149229286,100101_3761_0700409,2021-07-08 18:46:21.845,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,1,8743cff1-61d0-4793-8a9e-b113edc9e39f,baseline
