seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,temperature,humidity,sensor_module_id,timestamp_ms,tvoc,dataset,device_id,run_name,trial_id,session_id,label
0.0,0.3333333333333333,9266,1000000,339173,203021,243012,7952,239062,82203,44611,874229,61990,1000000,388462,11145,33055,187662,579820,26525,298965,109545,250245,34496,47958,325646,19546,163746,26625,15205,232497,230430,478544,1000000,25.62,36.89,100085_3714_070030,2021-07-08 22:15:48.107,69.5,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,e66a0265-9a04-4682-aba6-15f90f79bb46,baseline
3.0,0.3333333333333333,9264,1000000,339323,203291,242863,7952,239032,82190,44627,874572,61990,1000000,388745,11143,33059,187914,581626,26536,299668,109560,250300,34493,47954,325775,19539,163796,26629,15207,232327,230451,478614,1000000,25.63158111176495,36.890790555882475,100085_3714_070030,2021-07-08 22:15:51.107,69.5,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,e66a0265-9a04-4682-aba6-15f90f79bb46,baseline
6.0,0.3333333333333333,9266,1000000,338902,203150,243061,7954,239265,82179,44623,874138,61965,1000000,388902,11146,33050,187674,578855,26530,299262,109609,250272,34496,47960,325807,19548,163956,26646,15204,232161,230712,478656,1000000,25.63,36.89661538100383,100085_3714_070030,2021-07-08 22:15:54.107,69.5,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,e66a0265-9a04-4682-aba6-15f90f79bb46,baseline
9.0,0.3333333333333333,9264,1000000,338972,203154,242926,7954,239486,82200,44619,874693,61981,1000000,388699,11147,33048,187652,579481,26530,298972,109577,250181,34494,47963,325836,19544,163791,26634,15204,231987,230732,478626,1000000,25.64249742082302,36.9,100085_3714_070030,2021-07-08 22:15:57.107,69.5,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,e66a0265-9a04-4682-aba6-15f90f79bb46,baseline
12.0,0.3333333333333333,9264,1000000,339155,203163,243029,7956,239249,82190,44644,874113,61985,1000000,388793,11145,33056,187756,580278,26534,299148,109589,250229,34495,47960,325749,19542,163782,26634,15202,232355,230518,478608,1000000,25.633323029294164,36.903323029294164,100085_3714_070030,2021-07-08 22:16:00.107,69.5,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,e66a0265-9a04-4682-aba6-15f90f79bb46,baseline
15.0,0.3333333333333333,9266,1000000,339270,203341,243052,7953,238978,82161,44637,874665,61979,1000000,388824,11145,33050,187868,580063,26530,300017,109600,250241,34495,47964,325757,19542,163718,26634,15205,232099,230866,478481,1000000,25.6225179892077,36.894172663069234,100085_3714_070030,2021-07-08 22:16:03.107,69.5,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,e66a0265-9a04-4682-aba6-15f90f79bb46,baseline
18.0,0.3333333333333333,9266,1000000,338645,203499,243107,7953,239218,82173,44620,874468,61992,1000000,388659,11145,33062,187760,580993,26533,299653,109581,250217,34494,47953,325665,19539,163836,26655,15206,232407,230511,478463,1000000,25.624768751142472,36.89507708295251,100085_3714_070030,2021-07-08 22:16:06.107,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,e66a0265-9a04-4682-aba6-15f90f79bb46,baseline
21.0,0.3333333333333333,9266,1000000,338976,203575,243119,7954,239174,82141,44595,874197,61985,1000000,388925,11145,33063,187769,580505,26529,299576,109585,250215,34496,47956,325693,19537,163939,26626,15202,232177,230597,478470,1000000,25.606492303238067,36.888246151619036,100085_3714_070030,2021-07-08 22:16:09.107,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,e66a0265-9a04-4682-aba6-15f90f79bb46,baseline
24.0,0.3333333333333333,9267,1000000,338899,203793,243015,7953,239542,82143,44606,873929,61963,1000000,388704,11146,33070,187673,581415,26528,299485,109593,250306,34494,47964,325765,19538,163762,26629,15202,232059,230561,478516,1000000,25.636765915542053,36.910297746626156,100085_3714_070030,2021-07-08 22:16:12.107,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,e66a0265-9a04-4682-aba6-15f90f79bb46,baseline
27.0,0.3333333333333333,9265,1000000,338987,203162,243267,7953,239357,82140,44587,873833,61969,1000000,388687,11144,33075,187811,580312,26522,299265,109594,250296,34497,47959,325770,19546,163778,26622,15203,232533,230384,478575,1000000,25.635560126810255,36.89778006340513,100085_3714_070030,2021-07-08 22:16:15.107,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,e66a0265-9a04-4682-aba6-15f90f79bb46,baseline
30.0,0.3333333333333333,9264,1000000,339178,203143,243286,7953,239282,82137,44604,874345,61993,1000000,389022,11146,33062,187799,579782,26530,299553,109566,250234,34495,47962,325816,19542,163757,26637,15205,232185,230407,478505,1000000,25.611347149094144,36.891347149094145,100085_3714_070030,2021-07-08 22:16:18.107,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,e66a0265-9a04-4682-aba6-15f90f79bb46,baseline
33.0,0.3333333333333333,9267,1000000,338683,203089,243125,7954,239338,82184,44585,874182,61990,1000000,388881,11146,33063,187690,578974,26529,299852,109648,250245,34498,47960,325817,19541,163578,26653,15203,232114,230217,478553,1000000,25.669456410610042,36.928369231830125,100085_3714_070030,2021-07-08 22:16:21.107,69.47282053050205,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,e66a0265-9a04-4682-aba6-15f90f79bb46,baseline
36.0,0.3333333333333333,9268,1000000,338764,203675,243175,7956,239222,82101,44571,874967,61984,1000000,389054,11147,33067,187783,580782,26526,300328,109508,250188,34497,47967,325821,19546,163758,26627,15209,232829,230270,478530,1000000,25.639630389997972,36.9,100085_3714_070030,2021-07-08 22:16:24.107,70.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,e66a0265-9a04-4682-aba6-15f90f79bb46,baseline
39.0,0.3333333333333333,9266,1000000,339088,202654,243398,7954,239437,82180,44612,874125,61979,1000000,388754,11148,33064,187489,578382,26535,299352,109602,250130,34497,47970,325773,19535,163765,26623,15205,232544,230414,478676,1000000,25.647682048453003,36.9188410242265,100085_3714_070030,2021-07-08 22:16:27.107,70.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,e66a0265-9a04-4682-aba6-15f90f79bb46,baseline
42.0,0.3333333333333333,9268,1000000,338798,203289,243178,7954,239077,82131,44617,874658,61981,1000000,388817,11147,33073,187544,578408,26530,299452,109573,250199,34495,47960,325769,19542,163872,26640,15206,232740,230278,478597,1000000,25.611803287098212,36.90196721451637,100085_3714_070030,2021-07-08 22:16:30.107,70.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,e66a0265-9a04-4682-aba6-15f90f79bb46,baseline
45.0,0.3333333333333333,9266,1000000,338844,203303,243199,7954,238980,82180,44619,874166,61992,1000000,388721,11148,33031,187722,578769,26530,299708,109614,250251,34498,47973,325838,19536,164021,26628,15203,232265,230414,478669,1000000,25.651375778042578,36.92,100085_3714_070030,2021-07-08 22:16:33.107,70.14219722553223,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,e66a0265-9a04-4682-aba6-15f90f79bb46,baseline
48.0,0.3333333333333333,9265,1000000,338772,203924,243205,7953,239459,82166,44633,873864,61968,1000000,388855,11147,33031,187745,579365,26533,299082,109595,250219,34497,47966,325905,19537,163850,26638,15206,232393,230457,478613,1000000,25.64728952828369,36.916355235858155,100085_3714_070030,2021-07-08 22:16:36.107,71.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,e66a0265-9a04-4682-aba6-15f90f79bb46,baseline
51.0,0.3333333333333333,9268,1000000,338542,203862,243112,7955,239014,82175,44639,874300,61973,1000000,388930,11147,33042,187723,580363,26535,299315,109649,250166,34499,47969,325833,19541,163892,26624,15206,232466,230654,478614,1000000,25.638916411045397,36.91,100085_3714_070030,2021-07-08 22:16:39.107,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,e66a0265-9a04-4682-aba6-15f90f79bb46,baseline
54.0,0.3333333333333333,9266,1000000,338723,203228,243128,7956,239019,82127,44636,874058,61964,1000000,389045,11149,33047,187697,579952,26529,299224,109609,250272,34498,47960,325857,19540,163929,26631,15208,232671,230498,478652,1000000,25.639425048932107,36.92471252446605,100085_3714_070030,2021-07-08 22:16:42.107,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,e66a0265-9a04-4682-aba6-15f90f79bb46,baseline
57.0,0.3333333333333333,9269,1000000,338730,203797,243006,7955,239290,82096,44615,873819,61959,1000000,388614,11147,33045,187696,578375,26529,299698,109604,250201,34499,47966,325873,19539,163739,26625,15208,232212,230317,478725,1000000,25.657679499921354,36.92,100085_3714_070030,2021-07-08 22:16:45.107,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,e66a0265-9a04-4682-aba6-15f90f79bb46,baseline
60.0,0.3333333333333333,9267,1000000,338742,204131,243196,7954,239072,82141,44619,874397,61969,1000000,388809,11151,33037,187645,579647,26534,299324,109612,250203,34498,47967,325875,19542,163831,26621,15210,232776,230412,478595,1000000,25.631753116073988,36.93450207738266,100085_3714_070030,2021-07-08 22:16:48.107,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,e66a0265-9a04-4682-aba6-15f90f79bb46,baseline
63.0,0.3333333333333333,9267,1000000,338669,203173,243236,7957,239564,82177,44602,873174,61966,1000000,388990,11147,33074,187546,579669,26540,299669,109653,250178,34498,47965,325828,19543,163783,26634,15207,232676,230261,478718,1000000,25.63545173957445,36.92363449304963,100085_3714_070030,2021-07-08 22:16:51.107,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,e66a0265-9a04-4682-aba6-15f90f79bb46,baseline
66.0,0.3333333333333333,9266,1000000,338963,203590,243015,7956,239306,82167,44600,873795,61979,1000000,388807,11147,33033,187751,580077,26528,299347,109610,250233,34496,47966,325898,19547,163721,26612,15204,232691,230226,478752,1000000,25.63203285378723,36.92,100085_3714_070030,2021-07-08 22:16:54.107,73.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,e66a0265-9a04-4682-aba6-15f90f79bb46,baseline
69.0,0.3333333333333333,9266,1000000,338834,202681,243023,7954,238941,82148,44639,873871,61976,1000000,388943,11149,33033,187544,580463,26533,300042,109589,250170,34499,47963,325844,19544,163563,26607,15206,232256,230158,478733,1000000,25.620862419258348,36.92021560481459,100085_3714_070030,2021-07-08 22:16:57.107,73.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,e66a0265-9a04-4682-aba6-15f90f79bb46,baseline
72.0,0.3333333333333333,9266,1000000,338460,203065,243113,7955,239210,82132,44611,874434,61955,1000000,389064,11149,33034,187517,579473,26529,299520,109645,250281,34496,47969,325882,19540,163697,26637,15207,232764,230804,478623,1000000,25.657076915289526,36.91941538305791,100085_3714_070030,2021-07-08 22:17:00.107,73.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,e66a0265-9a04-4682-aba6-15f90f79bb46,baseline
75.0,0.3333333333333333,9266,1000000,338899,202944,243234,7956,239220,82210,44613,874373,61970,1000000,388662,11148,33043,187873,580081,26534,299760,109575,250225,34500,47965,325863,19545,163747,26635,15204,232404,230673,478690,1000000,25.632854213155024,36.91142710657751,100085_3714_070030,2021-07-08 22:17:03.107,73.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,e66a0265-9a04-4682-aba6-15f90f79bb46,baseline
