seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,temperature,humidity,sensor_module_id,timestamp_ms,tvoc,dataset,device_id,run_name,trial_id,session_id,label
0.0,0.3333333333333333,456084,1000000,25585,148397,905490,288606,122570,39715,43294,857012,607995,1000000,119150,19228,143966,137591,173978,580511,11970,26832,93309,21111,39098,322360,19672,23662,60605,336499,22258,1000000,490521,1000000,25.37,43.18,100099_3781_0700407,2021-07-08 22:15:49.921,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,3094e983-6e7c-45d9-8638-6c5f2e79c76c,baseline
3.0,0.3333333333333333,455113,1000000,25593,148646,906126,288643,122570,39715,43305,858715,608478,1000000,119122,19227,143931,137601,174114,578509,11956,26835,93308,21111,39094,322385,19666,23663,60574,337028,22231,1000000,490377,1000000,25.369093717166802,43.18,100099_3781_0700407,2021-07-08 22:15:52.921,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,3094e983-6e7c-45d9-8638-6c5f2e79c76c,baseline
6.0,0.3333333333333333,456313,1000000,25598,148576,905480,288860,122358,39707,43312,857610,607892,1000000,119146,19225,143960,137643,174093,579536,11962,26833,93301,21107,39098,322452,19665,23657,60572,336379,22236,1000000,490476,1000000,25.378282145116863,43.18,100099_3781_0700407,2021-07-08 22:15:55.921,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,3094e983-6e7c-45d9-8638-6c5f2e79c76c,baseline
9.0,0.3333333333333333,455650,1000000,25572,148520,904801,288581,122363,39699,43264,857743,608144,1000000,119135,19222,144069,137602,174000,578472,11965,26830,93319,21106,39100,322431,19661,23672,60557,336702,22244,1000000,489213,1000000,25.40427394313804,43.18286302843098,100099_3781_0700407,2021-07-08 22:15:58.921,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,3094e983-6e7c-45d9-8638-6c5f2e79c76c,baseline
12.0,0.3333333333333333,456298,1000000,25572,148372,905193,288717,122443,39709,43256,858080,608021,1000000,119140,19223,144273,137658,174052,579433,11951,26829,93323,21110,39091,322449,19655,23664,60574,336063,22254,1000000,489931,1000000,25.392448558499865,43.176224279249936,100099_3781_0700407,2021-07-08 22:16:01.921,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,3094e983-6e7c-45d9-8638-6c5f2e79c76c,baseline
15.0,0.3333333333333333,455005,1000000,25579,148179,905379,288474,122325,39701,43261,858041,607988,1000000,119138,19218,144222,137588,173966,578111,11956,26827,93322,21109,39094,322440,19660,23661,60544,336773,22237,1000000,489610,1000000,25.4,43.19,100099_3781_0700407,2021-07-08 22:16:04.921,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,3094e983-6e7c-45d9-8638-6c5f2e79c76c,baseline
18.0,0.3333333333333333,455704,1000000,25596,148703,905640,288407,122431,39702,43276,858669,608024,1000000,119113,19216,144266,137697,173952,579380,11961,26825,93297,21101,39095,322339,19659,23647,60532,336966,22238,1000000,489969,1000000,25.38884773688796,43.16442386844398,100099_3781_0700407,2021-07-08 22:16:07.921,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,3094e983-6e7c-45d9-8638-6c5f2e79c76c,baseline
21.0,0.3333333333333333,455315,1000000,25608,149034,905376,288166,122374,39696,43305,857874,608143,1000000,119121,19217,144329,137574,173940,578354,11965,26827,93296,21103,39095,322273,19661,23641,60541,336517,22229,1000000,490617,1000000,25.4,43.153357363439056,100099_3781_0700407,2021-07-08 22:16:10.921,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,3094e983-6e7c-45d9-8638-6c5f2e79c76c,baseline
24.0,0.3333333333333333,456178,1000000,25573,148633,904983,288472,122213,39699,43284,858752,608065,1000000,119129,19215,144284,137626,174005,579680,11967,26823,93290,21101,39095,322293,19655,23646,60557,336754,22231,1000000,490129,1000000,25.4,43.16772112326139,100099_3781_0700407,2021-07-08 22:16:13.921,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,3094e983-6e7c-45d9-8638-6c5f2e79c76c,baseline
27.0,0.3333333333333333,455980,1000000,25603,148700,905805,288435,122446,39703,43280,858671,608571,1000000,119140,19219,143933,137561,174010,579047,11970,26828,93310,21104,39092,322350,19658,23646,60599,336530,22221,1000000,489358,1000000,25.38429974181793,43.16,100099_3781_0700407,2021-07-08 22:16:16.921,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,3094e983-6e7c-45d9-8638-6c5f2e79c76c,baseline
30.0,0.3333333333333333,455896,1000000,25596,148448,906037,288393,122449,39705,43302,858789,608358,1000000,119156,19228,144153,137589,173921,579389,11971,26823,93317,21106,39097,322441,19657,23664,60610,336948,22233,1000000,489469,1000000,25.39,43.16,100099_3781_0700407,2021-07-08 22:16:19.921,69.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,3094e983-6e7c-45d9-8638-6c5f2e79c76c,baseline
33.0,0.3333333333333333,455644,1000000,25604,148479,905915,288634,122284,39699,43305,858863,608427,1000000,119152,19222,144103,137551,174063,579100,11970,26832,93315,21108,39093,322434,19661,23664,60595,336725,22237,1000000,491485,1000000,25.408547890830313,43.189031927220206,100099_3781_0700407,2021-07-08 22:16:22.921,70.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,3094e983-6e7c-45d9-8638-6c5f2e79c76c,baseline
36.0,0.3333333333333333,455714,1000000,25571,148475,906553,288766,122366,39706,43277,858899,608389,1000000,119146,19222,144049,137641,173985,578482,11977,26827,93319,21109,39102,322415,19663,23663,60601,337335,22227,1000000,489607,1000000,25.4,43.19,100099_3781_0700407,2021-07-08 22:16:25.921,70.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,3094e983-6e7c-45d9-8638-6c5f2e79c76c,baseline
39.0,0.3333333333333333,454913,1000000,25569,148555,905882,288287,122475,39702,43314,859124,608325,1000000,119141,19224,144193,137653,173941,579983,11978,26831,93328,21106,39103,322359,19661,23656,60577,336927,22227,1000000,490699,1000000,25.38537981113581,43.19,100099_3781_0700407,2021-07-08 22:16:28.921,70.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,3094e983-6e7c-45d9-8638-6c5f2e79c76c,baseline
42.0,0.3333333333333333,455247,1000000,25590,148777,905449,288463,122536,39706,43319,858381,608437,1000000,119144,19221,143975,137647,174035,579832,11972,26830,93324,21108,39098,322356,19662,23657,60584,336974,22225,1000000,490411,1000000,25.406604939482897,43.17330246974145,100099_3781_0700407,2021-07-08 22:16:31.921,70.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,3094e983-6e7c-45d9-8638-6c5f2e79c76c,baseline
45.0,0.3333333333333333,454338,1000000,25569,148337,906222,288471,122578,39708,43341,857740,608493,1000000,119129,19226,144022,137627,173929,579597,11966,26833,93318,21111,39103,322383,19665,23660,60578,336810,22230,1000000,490504,1000000,25.405701030484394,43.185701030484395,100099_3781_0700407,2021-07-08 22:16:34.921,71.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,3094e983-6e7c-45d9-8638-6c5f2e79c76c,baseline
